boundary_mismatch,doc_id,endpoint_mismatch,f1,fn,fp,layer,missing,mode,precision,recall,spurious,tp,type_mismatch
3,76437,0,0.13725490196078433,10,78,entity,7,strict,0.08235294117647059,0.4117647058823529,75,7,0
0,76437,0,0.29729729729729726,6,46,event,5,strict,0.19298245614035087,0.6470588235294118,45,11,1
0,76437,0,0.23529411764705882,2,11,timex,2,strict,0.15384615384615385,0.5,11,2,0
0,76437,2,0.11666666666666665,14,92,relation,12,strict,0.0707070707070707,0.3333333333333333,90,7,0
