boundary_mismatch,doc_id,endpoint_mismatch,f1,fn,fp,layer,missing,mode,precision,recall,spurious,tp,type_mismatch
2,76437,0,0.13725490196078433,10,78,entity,8,strict,0.08235294117647059,0.4117647058823529,76,7,0
0,76437,0,0.29729729729729726,6,46,event,5,strict,0.19298245614035087,0.6470588235294118,45,11,1
0,76437,0,0.11764705882352941,3,12,timex,2,strict,0.07692307692307693,0.25,11,1,1
0,76437,1,0.014598540145985401,20,115,relation,12,strict,0.008620689655172414,0.047619047619047616,107,1,7
