boundary_mismatch,doc_id,endpoint_mismatch,f1,fn,fp,layer,missing,mode,precision,recall,spurious,tp,type_mismatch
5,76437,0,0.1391304347826087,9,90,entity,4,strict,0.08163265306122448,0.47058823529411764,85,8,0
0,76437,0,0.0,17,0,event,17,strict,0.0,0.0,0,0,0
0,76437,0,0.0,4,0,timex,4,strict,0.0,0.0,0,0,0
0,76437,0,0.0,21,0,relation,21,strict,0.0,0.0,0,0,0
