boundary_mismatch,doc_id,endpoint_mismatch,f1,fn,fp,layer,missing,mode,precision,recall,spurious,tp,type_mismatch
5,76437,0,0.12213740458015267,9,106,entity,4,strict,0.07017543859649122,0.47058823529411764,101,8,0
0,76437,0,0.0,17,0,event,17,strict,0.0,0.0,0,0,0
0,76437,0,0.0,4,0,timex,4,strict,0.0,0.0,0,0,0
0,76437,0,0.0,21,0,relation,21,strict,0.0,0.0,0,0,0
