boundary_mismatch,doc_id,endpoint_mismatch,f1,fn,fp,layer,missing,mode,precision,recall,spurious,tp,type_mismatch
1,76437,0,0.12244897959183672,14,29,entity,13,strict,0.09375,0.17647058823529413,28,3,0
0,76437,0,0.0,17,0,event,17,strict,0.0,0.0,0,0,0
0,76437,0,0.0,4,0,timex,4,strict,0.0,0.0,0,0,0
0,76437,0,0.0,21,0,relation,21,strict,0.0,0.0,0,0,0
